phraseNo.,phrase,isHateSpeech
88,That yellow tshirt ponnaya 🤣😂🤣😂,NO
89,Ponna shavendra ballo Hutto we are peaceful Ubage unta kiyapan puka denne natuwa inna kiyala gon ponnaya 👻💩👽,YES
90,Adow ponnaya 🤣😂🤣😂,NO
91,Who cares what you think ponnaya 🖕🖕,YES
92,Get the F out amp be quite old stinky ass punk👎,YES
93,Srilankan public masters will piss on youAdo ponnaya ask your boss on his batalanda toucher chambers … punishments are not over yet 👿👿,NO
94,Hutto Uba resign venne nathuva ekatath nakathak bala balada inne pako Danvath palayan paw nodi ponnaya 🍆🍆,YES
95,Ranil ponnaya go home 🖕🖕,YES
96,Yeah ok👍🏼,NO
97,My question is the word Ponnaya also used in reference to a coward 😟,NO
98,ado Keri ponnaya koheda inne umba umbath underwear nethuwa da diwwe hutho 🩲🩲,YES
99,Ponnaya 🍆🍆 is also used in reference to a coward ,YES
100,You became a PONNAYA Exact Sinhala to express the real feeling with other PORA TALK PAKAYA by surrendering to BASTARD NANDASENA and turn your back to S Lankans Struggle to chase out this MURDERER In near future ppl will make your Destiny😡😡 ponnaya gas ponnaya  podi paiyya ponnaya koheda wesige putho panala yanne,YES
101,Meh ponnayo katai pukai wahn hitpn thawath gon katha kiynne natuwa ponnaya🙏🏽 Fucking bastard shame on u ass hole,YES
102,Ahahahah😂😂😂 Too late now machan too fking late Channa ponnaya apita ehema amathaka wenne naa aiyo salli,YES
103,oi ponnaya 🤬 hangila 🫣 inne natuwa warew eliyata,YES
104,Palayan ponnaya 😤😤,NO
105,Kari 🍆 ponnaya ,YES
106,බයක් ආවද🤣🤣🤣🤣🤣 ponnaya,NO
107,Palayan ponnaya yanna… hora ballo 🐕 tika 👺,YES
108,I don’t think this Bastard gota is stepping down 😕 ponnayaIGP ponnaya ugey thaththa ponnnaya,YES
109,Ponnaya now think what you have to say 🖕🖕,NO
110,Ponnaya playing games 🤪🤪,NO
111,You have joined Ranil ponnaya 💩👺,YES
112,Not annay he is ponnaya meaning gay 🤣🤣🤣🤣,NO
113,uba wesige puthek ponnaya 🤬🤬🖕🖕,YES
114,Ponnaya gedara payang umba  keri balla tho me lassana rata kaawa Minissu athara jathiwadiya wapiruwa Umbai umbage keri  ayya mahinda wessige puthai umabalage ponna rajapakse paramparawatama hena 7ma weddiyan May Almighty Lord unleash his immense curse upon you bastards 🤬,YES
115,Ponnaya Your wife and Kesara where ever they go is cursed 💀💀☠️ for every cent they spend The money stolen from the innocent people,YES
116,හෙනගහපිය තොපේ මුලු පවුලටම හෙනම ගහපන් 🤬,YES
117,Gota ponnaya 💩💩,YES
118,Next for you ponnaya heta ennag ubage puka eranna keriya 🍆🍑,YES
119,Naki sakkili pakaya 💩 ponna kariya huththige putha naki pakaya 🍑 ponnaya3 nathi mainasaran adina abuda gahana niwata ponnayek 🖕 thothota puluwanda la kawa goda dannanaki hikanalayathotai thoge mulu rajapassa paulama handigawila makabawila palayan,YES
120,Not even worth it to be called as a ponnaya 😠😟,NO
121,Brah No Dont call him a ponnaya 😭,NO
122,Umbatath mehema thama wenne gedara giye nathnm ponnaya 💀☠️,YES
123,Fuk 🖕 face is shocked about other’s deaths but not of the people of this country Ponnaya hukanne natuwa palayan ko wesige putha ponnaBe careful ponnaya 🖕,YES
124,Ponnaya 🖕,YES
125,palayan pako gedara ube ammata hukanna 🖕🖕 wesa ponnaya weel ekakwath na 😡😡 keri ponna pakaya ube ammage huththata huakpan 🤬,YES
126,ponnaya menna igengan8n 😝,NO
127,Kari ponnaya ammata hukanna ko kari ballo thelube ammata hukanawada 🍆 🍑 naki pakaya ,YES
128,Pala ponnaya 🏃‍♂️🤬,NO
129,such a ponnaya you are 🤬,NO
130,your going to die ponnaya 💀💀☠️☠️,NO
131,pala gedara ponnaya ponnaya ponnaya thoooo ponnaya 😠😠😤😤,YES
132,Nodakin puka dena 💩💩 ponnaya thoge thaththa ponnaya 😠😠,YES
133,tear gas gahapan thoge ammage puke ponnaya 👿👿,YES
134,9wenidata lassthiwiyan marenna 👻💀👽 ponnaya,YES
135,ponnaya naki ponnaya tho mariyan 💀💀,YES
136,gota ponnya thoge thaththa ponnaya 🤣🤣,YES
137,How can this PONNAYA rule a country when he could not hold on when he got the chance twice And said he taught his guys Reminded me of the mother crab 🦀🦀🦀 teaching the small crabs to walk straight,YES
138,Oka ponnaya 🤝🤝,NO
139,Ammata hukapan kari kanchana ponnayahukanno gotage ata 2ka kapala vikunala hari apita thel genath diyanbarinam ube ammage pukata diwa dala tho athe gahan sakkiliya ,NO
140,Lajjawa nathi ponnaya gota😂,YES
141,Ammatasiri mahinda ponnaya still alive 😂,NO
142,Puka dunnada Ponnaya 👺👺👺,YES
143,Ponnaya you Manjula Basnayake if you can come to a Soldier and talk 😾💩,YES
144,Ponnayo katawahan idapn weso uba mona magulakatada yako indiawata bainne yako lanakwe dan weak wela inne uba ponnaya nisa indiawe lanakwata patta chatr katha kyanne 🤬🤬,YES
145,ponnaya namal 👻,YES
146,Aiyo ko daily updates 😂 this Rajapakse pimpiya is only retweeting now🍌,YES
147,SAKKILI 💩💩💩💩 PONNAYA ,YES
148,Nandasena Ponnaya palayan yanna 😤😤🥵,YES
149,Ponnaya uniform eke galawala waren mama ubata kick karana hati purudu karannam 🤬🤬,YES
150,Gazette ponnayaPala ponnaya 👺👺👺,YES
151,Pala Ponnaya Yanna Wediying Katha Karoth Hirunikawa Evanawa Thopigawa 😂,YES
152,Stupid ponnaya 🤓🖕🖕,NO
153,Electuon results deddi hinawuna ponnaya ☠️☠️☠️,YES
154,Naan enda Pothittu Irukkanum nee enakku un ponnaya koduthurrukka Naan Pothittu okkara Loosu Wigpathayfans🤣🤣🤣,YES
155,Mal ponnaya 🍆🍑,YES
156,Ponnaya learn your stupid history first 🥹😆,NO
157,NO 1 ponnaya 👌👉,NO
158,Uba gotage baiya neda ponnaya gotata kata deela amaruda dn 😂😂😂😂 ponna wesike putha 😂😂😂,YES
159,Uba puke gempa ponnaya vote eka dappu sakkili jathi 😂😂😂😂,YES
160,Moda musala thakkadi jathi thama sinhala jathi puken thama kanne ponnaya sakkiliya 😂😂😂😂,YES
161,Ube ammawa hukala hukala inne ubath ewilla hukapn sinhala ponnaya gotata kata dala hukapu ponna wesi putha 😂😂😂😂 kannath nethuwa ube jathi merai 😂😂,YES
162,Komalians sonna komali thanama thane irukkum😂😂😂 Ne pova sonna povarthukku nee ennaku un ponnaya koduthirukka,YES
163,Ponnaya 🤮🤮🤮,YES
164,ponnaya balapan minissu waw walata panala diwinssa ganna thanata path wela thota wada hodai janadi pathi wela prabhakaran hitiyanan ponna wesa balla balapan wesige putha 🥴🖕🖕,YES
165,Hondatama kara neda potta ponnayaPonnaya pakkaya begging from arabs Ado nanasara pakkaya 🍑🍑,YES
166,Pissa ube ponna wesike puthala hinda thama dn kannath nethuwe demala dunna sahanen kagena inne ponnaya 😠😡😡,YES
167,Kari ponnaya adapan ubata puke ariyama 🍆🍆🍑,YES
168,Kawda ban me ponnaya 🤷🏼‍♂️,NO
169,Pakaya ado Saudi Qatar thel hodada ponnaya 🤣🤣,NO
170,ponna ganasaraya kari ponnaya 💦👹,YES
171,Moda hukanno tikak inne mun wage wal ballo hinda rata bankaloth nemei naththata nathi wela yai paya 18k indala ltr 35 gahan yanna ape unta puke amaruwak da danne naa tiyenne ponna parliamentarians should freaking rott in hell ☠️☠️ GoHomeGota ponnayaPonnaya,YES
172,ponnaya tho meriyan wesige 💀💀 putha,YES
173,Ane pako ceypetco enne na kiyapu Nisa ioc giya tho anthimata hamathanatama petrol yawwa ceypetco walata Moda wesige balla Kamri ponnaya 4 days queue eke wesa ballo 💀💀,YES
174,Unata Thama Therannaddha Ponnaya 💩💩 Bunker Eka Engi Engi Inne GotaGoGama GoHomeGota2022 GoHomeGota GoHomeRajapaksas GoHomeRanil EconomicCrisisLK,YES
175,Keri ponnaya 🖕🖕🖕 ammata ukonava vestige putha ubage ammava Enna kiyan,YES
176,Haha wait is your father here on twitter or are you just referring to your self as a ponnaya  😂 not cool mchn have some self esteem It doesn’t matter whether you are a straggot or a bigot Everyone matters so stop calling yourself a ponnaya for the love of god 🤦‍♂️,NO
177,What a stupid fuer you are Ponnaya 🤠🤠,NO
178,True Their list of ‘things that could take you to hell’ is too long xD I could be among them too But here’s the thing I am referring to the ones who’d bash them and casually go throw insults that are offensive towards homosexuals Samanalaya ponnaya 😡🤬 etc,YES
179,Rajapakshalage puka hodana kari ponnaya 😤😤,YES
180,Keri vesa ponnaya rate minisunta tawa paw denawa 👹👹👽,YES
181,this is pride month where pride parades are very common this pride parade just ended in GGG This pride parade empowers lgbt people who are in GGG and if no one cares simply no one cares It did no harm Did you near the ‘gota ponnaya’👹👹👽 chants Yes that’s why we needed this,YES
182,මේක print කරලා roll කරලා ගහගනින් පුම්කේ Since Namal ponnaya showed up things has changed I wonder why 🫢🫢,YES
183,Pala ponnaya Please resign Rather than saying sorry 😡😡😡,YES
184,Ube ammata hukapan ponnaya Kunu wela mariyan balla ☠️👻💩,YES
185,1st paiyanaya illa ponnaya nu sollu 😳😳,YES
186,How about this hamaduru ponnayafuk off da keri ponnaya 🖕🖕,YES
187,Look at you smiling like a true ponnaya 👿👿,YES
188,Ask your brother to get out of his presidency and give us all the money you stole ponnaya 🖕🖕,YES
189,Wesige putha get lost bn noone wants u here   give us our money back and get out bayya para wesige putha ponnaya aeta nathi balla 🖕🖕🖕🖕,YES
190,Man if there was an award for the biggest hypocriteCassi would bag it ponnaya 😆😆,NO
191,Go home ponnaya 🤣,NO
192,Uda kare owa ponnaya 🤣💩,NO
193,Uba ganita kiwwada uba fail kiyala Ponnaya 😆😆,NO
194,Still trying to play the race card Ponnaya 😅😅,NO
195,Hes a ponnaya just like you are 🤫🤫,NO
196,Happy birthday to the biggest ponnaya in Sri  Lanka right now 🖕🖕😲,YES
197,Hena gahapan ponnaya 💀👻,YES
198,Happy Birthday Ponnaya ❤️🖕🏻,NO
199,Money Laundering PonnayaRajapakshalage puka lewa kana kari ponnaya 😤😤🤬,YES 
200,GAMMAK HUTHTHO ❤️,No
201,Kariyo thopilata balaya dunne umbe ammada ara amathiwarayada Kariya kalu wesa balla Huththo meka kiyawana kota ange le rath wenawa ballo,Yes
202,Huththo oluwa kelin thiyan kiyanna puluwan deyak huththo tho kiyanne kisi gaanak wath nathuwa Kari naaki wesa balla Mariyan huththo Nakiya Thota thawa wadi dawasak naa naaki pakaya Tho ussanna puluwan deyak ussa ganin danma ayeth enna bariwei hama gahanawa,Yes
203,Rajapakse puka lewakana eka hondai ponna sajithge puka lewakanawata wada huththo,Yes
204,ko huththo wagakeema,Yes
205,chooty pakaya mehe wara huththo,Yes
206,naya gewapan huththo anungen kaka inne nathuwa pinguththaraya,Yes
207,Light deepan huththo,Yes
208,Thota pissuda huththo,Yes
209,Ado Galle gammata gahanawane huththo,No
210,Boru baila epa huththo,Yes
211,Huththo rajya naya gewanna kiyapan  oya moda wada nokara,Yes
212,Huththo puka nodi pala ponna hora   meka balapiya,Yes 
213,ko huththo album 🥴,Yes
214,wada karapan huththo palako 🖕🏽🖕🏽🖕🏽🖕🏽💪🏾,Yes
215,Pissudha huththo ehema karanna epa bn😔💔,No
216,Ado huththo ge Putha Gihin payyak urapan Thoge lamaya inne San Francisco wala ne Tho pita ratak nathi karoth Api thota inna denne th na PONNA Gotabaya Nandasena,Yes
217,Ane huththo ibala wage guu baya pakyonta army ekata yanna hithannawath akiyaubalai ththage mistake ekakin me loketa tjo wage gon ballek awane😂😂😂,Yes
218,Ane huththo uba meke haminne nathuwa idhanmata ona widiyaka mn jiwath wenne ponnayo mata adalama na,Yes
219,Aneh huththo polowe paya gahala hitiyata bada pirenawada wesiye,Yes
220,Ubane huththo gon Kariya 😂😂,Yes
221,Hukakan huthto tho danna deyak naa Ay huthto Mickey thoge ammata hikuwada kariya😂,Yes
222,Mun eliyata giyamath coach da pali Ethakota muge kellata baba hambunath coach thamai pali,No
223,Tho bhanuka ge pukata diva dammada huththo okata ochchra kade yanna😂,Yes
224,hodaganin mal ponnaya huththo revila umbata 🖕🖕🖕🖕,Yes
225,Ganang huththo Pandemic ekak asse oka ganna athak payak wikunana thamai wenne Lockdown magulak thibbe naththan dickman road dawak pahak giya nam oka hoya ganna thibba ekawath dan karanna bane,No
226,amo amo huththo ekah,No
227,Mona nidaanayakda huththo🎾,No
228,Kapanakotaa balanna giye nathi ponna pakaya dan hamanennada giyo huththo,Yes
229,Depan Huththo 100FREEiPhone12,Yes
230,FreeiPhone12 red mata ba huththo,No
231,Money Laundering PonnayaRajapakshalage puka lewa kana kari ponnaya 😤😤🤬,YES
232,Ponnaya is back we 🤣🤣,NO
233,Ammata hukapu ponnaya 😤🍑🍆,YES
234,Kari ponnayakomda pana nathi wesige putha 😤🤬,YES
235,This family has screwed up the entire country and now trying to get back 😂😂STAY HOME PONNAYABayyot dakka uba wage gu kana bayyek dakke goda dawasakin ponnaya 😛,YES
236,Yenda policekaran gun use pannama un ponnaya use panna mudiyum 🤮🤮,NO
237, Gahapan Bomba umbe ata dekata dan sakkili balla  Hukapan ponnaya dan 💩 💩 👺,YES
238,Kindly Recorrect and Go  Ensure to Provide all the Looted Money then You May Go Fuck  Ponnaya 😡🤬,YES
239,ponnaya gas neththan Dhara Lipa paawichchi karanna api dannawa tho huththa awilla dhara palala denawada 🖕🖕,YES
240,Palayan hutto yanna Kari ponnaya 😾😾,YES
241,well done ponnaya 👍,NO
242,PonnayaYou are a rajapaksha protitute 💋 Ponnaya  Ubage amma paw bn  Uba wage gu parayekwa lowa bee karapu e wesi 😡🤬,YES
243,Uba wage wesi amma paw bn  Rajapakshalata ubage ammawath wikunapu ponnaya 👿👿😤,YES
244,then where are youill come and lets seeyou are the one fighting in twitter like a ponnaya 👻💩,NO
245,ado ponnaya tho ammata hukapn kari gothaya waren yako ponnaya wage twitter eke fight karanne nathuwaammage puka imbapn huththige putha 🍑👅👅,YES
246,Go get your daily blowjob from and namal ponnaya 🍆💦,YES
247,Ponnaya 🤣🤣🤣,NO
248,Ah Ponnaya you are back again 😄😄,NO
249,Nasamma nee ponnaya theru நேசமணி கவுண்டர் வீதி 😄😄,NO
250,Nasamaa nee ponnaya theruநேசமணி பொன்னய்யா கவுண்டர் வீதி எங்க இருக்குங்கங்கணா🤣,NO
251,Mr namal ponnaya ubata lajja nadda mehema kiyanna 🤢🤮,YES
252,Hukapn ponnaya 🖕🖕,YES
253,9 ponnaya 🖕🖕 sorakkal  priest in anaimalai inscription hoysalaposala period,NO
254,If you can’t understand English try reading it again… it might help ponnaya 😠,NO
255,நாசமா னி ponnaya தெரு 🤣🤣🤣🤣Palayan naaki ponnaya,YES
256,Better than her calling you a ponnaya 💀,YES
257,Stop giving ass rajapakshe ponnaya 🍑🍆,YES
258,You are one of them ponnaya 👹👹,YES
259,thoge abbagatha piyawa aran makabawila pala Ponnaya 💀💀,YES
260,Yah Rajapaksha family was went to war and achieved victory😡that time gota ponnaya was escaped to home,NO
261,Oy ponnaya youre not relevant anymore 😼😼,NO
262,Puka Deepan ponnaya 🍑,YES
263,Look at me Im a ponnaya 🍆🍆,NO
264,Ponnaya wesiye thopila marapu minissun ethakota thopi wage amanayo gana wachana na kiyanna Balli 💀☠️,YES
265,Ponnaya 🤯🤯 you are your entire family initially reported as Sri Lanka’s saviors but however pandora papers came out and you and your entire family had stolen Sri Lanka tax payer money,YES
266,wesa balla you forgot what you did to divide Sinhala and Muslims  By the way where you hiding out from Sri Lankans Ballek wage thawa pare adagena yanne ponnaya 😡😡,YES
267,Calling Gota “pissek” “ponnayek” in addition to insulting gay and  mentally ill groups is also naming Gota as being marginalized He is not marginalized He is the oppressor He is performing hyper masculinity Calling him ponnaya and pissa is therefore ludicrous GotaGoHome2022 😠😤😤,YES
268,You realise that youre literally defending ponnaya here right That youre literally saying calling Ranil a ponnaya is OK because he is a ponnaya right 😂😂,YES
269,I had that chance with that speaker because he was speaking on our platform But when crowds are chanting “Gota Ponnaya” I am not able to go into it and explain it’s wrong Just like you wouldn’t if crowds were saying anti Muslim things 😡😒😒,NO
270,Namal Dan sepada ponnaya 😃,NO
271,Palayang ponnaya jeewan 😡😡,YES
272,Ponnaya able to respond to this 😏😏,NO
273,Daii nee inum inga than suthinu erukkiya ponnaya 😅😅,NO
274,Hey I just want to ask if you could not use the word “Ponnaya” I understand your frustrations and you know we share similar taste in music and I know you’ll understand when I say that it’s rather hurtful to me and my community 😌😌,NO
275,Thoge thaatthata kiyapan ponnaya 😤😤,YES
276, ponnaya its your karma and you attacked yournown house with minimum damage and i really wish you get a real treatment for all u did pakaya 🖕🖕,YES
277,Thaththage putha ponnaya 👿,YES
278,Oii palayang bang magula ponnaya advice karanna epa dekkoth gahanawa salliyata 🤕🤕,YES
279,Thaththa ponnaya 🖕,YES
280,Iraj ponnaya shared phone numbers of other peoples mothers did he not 🖕🖕,YES
281,Iraj ponnaya shared phone numbers of other peoples mothers and instructed his fan boys to scold them with filth Karma hits hard and it hurts sometimes 😈😈,YES
282,Pakkaya ponnaya wesi gae putha 🍆🍆,YES
283,Ane pala yanna kalakanni ballo yanna Ammapa tho methena hitiyanam thoge ammage redda roll karala gahanawa thoge puke Kalakanni ponnaya Tho enna epa eliyata thowa peti 7kata kapanawa Ponna sakkiliya 😡😡,YES
284,HODA MINIHEK VAGE RAGA PANA EPA ponnaya 👻👻,NO
285,Ai umba dakka nada temple trees eken baye diyuwe 😂 trinco gihin botuwen panna guu baye 🤣 namal ponnaya helicopter eken baye panna yoshitha kalin ma panna ,YES
286,Set ekema ai bung guu baye pannine 🤣 Baya gullo set ekata ne bung uba puka denna 🤣 lajawak nadda 🤡😂,NO
287,Jathiwada wapurala rajapakshatu puka dhunnane ponnaya hoda weda umbata huttha umbalaga amma tthatha apu Umba wage kalakanniyek heduwata thama mewa 🖕🖕,YES
288,Ado ponnaya where you are hiding Inside shiranthi s pussy 😹😹😹,NO
289,Ado ponnaya gota uba monawa kiuwath no use 👎👎,YES
290,Palayan kiwwama yanna theren nathi ponnaya huththak kiyanawa dan🤣,YES
291,Gota ponnaya gatage ayiyath ponnayaaa unla denna puduma ponnayooo 👌👉👉,YES
292,Thawa Hutto umbata one mekata wela inne ponnaya 😡😡,YES
293,Gono tho thamai ekama crisis eka wada nodiii palayan yanna gu ponnaya 👺👺,YES
294,Cari seen ecaneda huththo ,Yes
295,Puka nodee palyan huththo ,Yes
296,Thanks huththo ❤️😘 ,No
297,My pakistani colleague asked what do mean by huththo ,No
298,Sri Lankan too This is why I go huththo under my breath multiple times whilst driving at night ,No
299,Nothing excites me more than screaming “MONADHE HUTHTHO KARANNE” at 9am 😅🥰 ,No
300,Eh huththo we’re doing a Houseparty session today 9pm Be there ,No
301,You were supposed to reply with this 🤦‍♂️Sirawata huththo ,No
302,Huththo code eka ewaoan huththo ,Yes
303,Good Night Huththo ,No
304,Absolute sex huththoPala huththo yannana ask your minister Maithripala for that He was the one in charge lka ,Yes
305,huththo ,Yes
306,PALAYAN HUTHTHO YANNA GAL GEWALAYA😡😂 ,Yes
307,For real huththo😂 ,No
308,huththo 😂 ,No
310,Enna seiran huththo adha miss pantane ,No
311,Light naha huththo ,No
312,Ane hukapan huththo ,Yes
313,Ko huththo voice tweets for Android ,Yes
314,These passwords make your accounts easy to hack  srilankan ,No 
315,Huththo its not the time for fucking dry sarcasm I get comedy is subjective and I have vouched for Dark comedy but why the actual fuck are you using sarcam in thread of a child that tragically got raped and killed Stop disrespecting the victim , Yes
316,HuththoEeya huththo its so obviously Walt, No
317,mokakda huththo aihinsaka manussyek marala pakaya wage inne 😡 gihin udau karapan e minissunta laksha 2k dila berenna hadannetotath ammek taththek innawa neda nathnam tho අවජාතකයෙක්දthota salli nathi ekek nemeinetho ratata wadakuth na hadapu දෙමාපියන්tath wdakna😡😡, Yes
318,Huththo enemy 😂, No
319,Hype huththo hype, No
320,Baa huththoAi Huththo👿👿😤, Yes
321,Check your WhatsApp huththo😂😂, No
322,So people still believe that SJB along with other majorminority parties to make 23rd of Marjority in the parliament amp Sajith to become the prime minister of Srilanka Get a life every one who believe this 🙏🏻😂 huththo policians are working for SLPP being against them publicly, No
